id,component_type,last_synced_at,source_file_version,status
1,Version,2024-09-02 01:01:15.610107+00:00,v0.0.0,complete
2,Cycle,2024-09-02 01:01:15.744587+00:00,v0.0.0,complete
3,Group,2024-09-02 01:01:15.946351+00:00,v0.0.0,complete
4,Dataset,2024-09-02 01:01:19.949940+00:00,v0.0.0,complete
5,Variable,2024-09-02 01:01:22.253711+00:00,v0.0.0,complete
6,DatasetCycle,2024-09-02 01:02:14.866489+00:00,v0.0.0,complete
7,VariableCycle,2024-09-02 01:01:53.343722+00:00,v0.0.0,complete
8,Rule,2024-09-02 01:02:15.081862+00:00,v0.0.0,complete
9,RuleVariable,2024-09-02 01:02:15.307641+00:00,v0.0.0,complete
10,QueryColumns,2024-09-02 01:02:15.549614+00:00,v0.0.0,complete
